SL,PAN Style,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,6,8,10,12,14,16,18,19,20,21,22,23,24,48,50,52,54,56,58,62,68,74,80,86,92
,PAN2022078Q,,,,,Men's Round Neck Sweat Shirt,crabapple,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022078R,,,,,Men's Round Neck Sweat Shirt,withered rose,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022078S,,,,,Men's Round Neck Sweat Shirt,peacoat blue,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022078T,,,,,Men's Round Neck Sweat Shirt,DESERT SAGE,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022078U,,,,,Men's Round Neck Sweat Shirt,amber yellow,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022078V,,,,,Men's Round Neck Sweat Shirt,pompeian red,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022078Z,,,,,Men's Round Neck Sweat Shirt,trekking green,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022078AA,,,,,Men's Round Neck Sweat Shirt,lt grey mel,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
141,PAN2022077,,Men,Top,Hooded Sweat Shirt,Men's Hooded Sweatshirt,blue turquoise,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077G,,,,,Men's Hooded Sweatshirt,pompeian red,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077L,,,,,Men's Hooded Sweatshirt,lt grey mel,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077E,,,,,Men's Hooded Sweatshirt,MALLARD GREEN ,4.05,14.02, -   ,8,3,2, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077H,,,,,Men's Hooded Sweatshirt,SULPHUR SPRING,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077A,,,,,Men's Hooded Sweatshirt,oxblood red,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077K,,,,,Men's Hooded Sweatshirt,orange rust,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077I,,,,,Men's Hooded Sweatshirt,amber yellow,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077J,,,,,Men's Hooded Sweatshirt,tap shoe,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077D,,,,,Men's Hooded Sweatshirt,DESERT SAGE,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077C,,,,,Men's Hooded Sweatshirt,DUSTY BLUE,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077N,,,,,Men's Hooded Sweatshirt,pale mauve,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077F,,,,,Men's Hooded Sweatshirt,ICED COFFEE,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077B,,,,,Men's Hooded Sweatshirt,trekking green,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077M,,,,,Men's Hooded Sweatshirt,peacoat blue,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,PAN2022077P,,,,,Men's Hooded Sweatshirt,DRESS BLUE,4.05,14.02, -   ,8,7,6, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
142,PAN2022120,,Women,Bottom,Knit trouser ,Women's Knit Trouser,OFF WHITE,2.38,11.79,131,226,260,69, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
,,,,,,,YELLOW,2.38,11.79,121,365,400,100, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -
